       W1155      0.1469     5467.27     2305.89     11510.7
       W1154      0.1462     7968.91     3360.99     16777.6
       W1152      0.1472     7474.32     3152.39     15736.3
       W1151      0.1352     4655.84     1963.66     9802.31
       W1149      0.1468     4857.86     2048.87     10227.6
       W1148      0.1411     4584.71     1933.66     9652.56
       W1147      0.1546     2606.78     1099.44     5488.27
       W1145      0.1351     4940.99     2083.93     10402.7
       W1138      0.1521     5560.95      2345.4     11707.9
       W1137      0.1451     4165.62     1756.91     8770.21
       W1136      0.1417      3905.3     1647.11     8222.15
       W1133      0.1449      3348.7     1412.36     7050.28
       W1132      0.1565     3048.31     1285.67     6417.86
       W1129      0.1352     5071.76     2139.08       10678
       W1128      0.1348     6237.01     2630.54     13131.3
       W1124      0.1704     2537.34     1070.16     5342.07
       W1119      0.1612     6293.56     2654.39     13250.3
       W1117      0.1521     6866.43     2896.01     14456.4
       W1116       0.118     8211.33     3463.24       17288
       W1115      0.1563     2921.45     1232.16     6150.76
       W1114      0.1583      3176.3     1339.65     6687.33
       W1113      0.1754     6438.08     2715.34     13554.6
       W1111      0.1624     5409.81     2281.66     11389.7
       W1110      0.1615     3583.42     1511.35     7544.45
       W1109      0.1642     2909.47     1227.11     6125.54
       W1108      0.1766     1841.89     776.841     3877.88
       W1105      0.1658     4675.28     1971.86     9843.25
       W1104      0.1525     2891.56     1219.55     6087.83
       W1103      0.1477     2974.56     1254.56     6262.57
       W1101      0.1514     5729.63     2416.55       12063
       W1100      0.1384     4430.94     1868.81     9328.82
       W1099      0.1503     3787.68      1597.5      7974.5
       W1095      0.1674     4462.26     1882.02     9394.75
       W1093      0.1586     2802.41     1181.95     5900.14
       W1092      0.1542     4189.88     1767.14     8821.28
       W1091      0.1655     3550.35     1497.41     7474.83
       W1090      0.1548     6355.07     2680.34     13379.8
       W1112      0.1582     1760.05     742.324     3705.57
       W1087      0.1575     6407.25     2702.34     13489.7
       W1086      0.1513     6766.51     2853.86     14246.1
       W1085      0.1456     5167.63     2179.52     10879.8
       W1084      0.1466      6617.4     2790.98     13932.1
       W1083      0.1537     4360.02      1838.9     9179.51
       W1082      0.1415     5488.05     2314.66     11554.4
       W1079      0.1477     7558.98      3188.1     15914.5
       W1076      0.1418     4903.85     2068.26     10324.5
       W1075       0.169     2469.92     1041.72     5200.11
       W1073      0.1451     5990.52     2526.58     12612.3
       W1070      0.1554     3888.61     1640.07     8187.01
