6  23  0  286.469  2.46435
6  23  1  353.003  2.57894
6  23  2  324.262  2.04497
6  23  3  438.949  2.41167
6  23  4  367.501  2.60641
6  23  5  592.247  2.83062
6  23  6  621.721  2.38343
6  23  7  458.706  2.65425
6  23  8  370.311  2.09629
6  23  9  514.963  2.44472
6  23  10  452.184  2.45476
6  23  11  368.703  2.80196
6  23  12  521.525  2.45682
6  23  13  531.332  2.14912
6  23  14  545.353  2.28869
6  23  15  627.773  2.29548
6  23  16  474.037  1.86182
6  23  17  497.77  2.26543
6  23  18  358.249  2.49227
6  23  19  367.987  2.0843
6  23  20  506.322  2.08635
6  23  21  601.618  2.61796
6  23  22  581.969  2.47232
6  23  23  610.341  2.20062
6  23  24  389.782  2.30559
6  23  25  230.558  2.46327
6  23  26  430.069  2.22189
6  23  27  328.342  1.90812
6  23  28  517.252  2.43359
6  23  29  412.035  3.04663
6  23  30  388.969  2.50104
6  23  31  371.603  2.40647
6  23  32  310.507  1.38997
6  23  33  476.694  1.42655
6  23  34  419.757  1.36548
6  23  35  301.635  1.43864
6  23  36  571.646  1.37321
6  23  37  523.669  1.52074
6  23  38  494.582  1.59515
6  23  39  409.195  1.63017
6  23  40  514.937  1.37976
6  23  41  363.252  1.39275
6  23  42  477.095  1.33933
6  23  43  386.395  1.577
6  23  44  544.536  1.53948
6  23  45  435.716  1.44489
6  23  46  566.152  1.43049
6  23  47  476.531  1.53876
6  23  48  338.994  1.46794
6  23  49  428.248  1.40377
6  23  50  437.01  1.57108
6  23  51  344.42  1.49535
6  23  52  537.792  1.47674
6  23  53  423.407  1.49598
6  23  54  388.609  1.72471
6  23  55  608.658  1.77748
6  23  56  317.905  1.49986
6  23  57  382.506  1.08939
6  23  58  438.487  2.26376
6  23  59  290.797  2.16518
6  23  60  486.649  2.51528
6  23  61  502.722  2.19827
6  23  62  480.271  2.51108
6  23  63  514.66  2.56059
6  21  0  245.245  2.42468
6  21  1  274.899  2.08091
6  21  2  253.023  2.88158
6  21  3  253.54  2.59402
6  21  4  346.235  2.64597
6  21  6  361.309  2.37635
6  21  7  275.651  1.87467
6  21  8  339.571  2.50364
6  21  9  286.11  2.25344
6  21  10  268.966  2.12329
6  21  11  234.236  1.59456
6  21  12  290.076  1.84235
6  21  13  314.73  2.59516
6  21  14  296.396  2.0645
6  21  15  343.745  1.80206
6  21  16  374.822  2.09515
6  21  17  290.047  2.27692
6  21  18  258.424  2.24689
6  21  19  203.144  2.4458
6  21  20  345.671  2.41212
6  21  21  419.706  2.89452
6  21  22  409.252  2.4441
6  21  23  494.488  2.44549
6  21  24  329.058  2.41695
6  21  25  288.681  2.31001
6  21  26  223.868  2.54063
6  21  32  287.705  1.57846
6  21  33  283.651  1.31831
6  21  34  217.399  1.33203
6  21  35  231.762  1.42572
6  21  36  347.511  1.52843
6  21  38  304.875  1.19626
6  21  39  276.008  1.21236
6  21  40  300.537  1.31427
6  21  41  323.362  1.15872
6  21  42  266.1  1.36142
6  21  43  277.318  1.43405
6  21  44  263.411  1.50576
6  21  45  242.239  1.48947
6  21  46  282.639  1.54385
6  21  47  280.328  1.69459
6  21  48  269.899  1.5586
6  21  49  254.924  1.65266
6  21  50  221.218  1.80899
6  21  51  266.939  1.73261
6  21  52  351.141  1.83642
6  21  53  311.732  1.77628
6  21  54  240.569  1.75543
6  21  55  386.995  1.82232
6  21  56  293.395  1.69293
6  21  57  248.317  1.70957
6  21  58  221.988  1.72425
6  19  0  363.257  2.24613
6  19  1  340.436  2.2086
6  19  2  270.529  2.62938
6  19  3  252.504  2.53282
6  19  4  425.859  2.74108
6  19  5  386.233  2.45444
6  19  6  403.697  2.11843
6  19  7  370.393  2.33299
6  19  8  332.562  2.55604
6  19  9  343.534  2.35308
6  19  10  343.515  2.6398
6  19  11  283.9  2.78552
6  19  12  425.662  2.20886
6  19  13  359.86  2.0812
6  19  14  352.29  2.81641
6  19  15  415.535  2.62453
6  19  16  343.717  2.23562
6  19  17  290.651  2.20903
