#     Name    Calibration Factor
      W709    0.20
      W710    0.20
      W707    0.20
      W708    0.20
      W677    0.20
      W706    0.20
      W675    0.20
      W676    0.20
      W673    0.20
      W674    0.20
      W643    0.20
      W672    0.20
      W641    0.20
      W232    0.20
      W231    0.20
      W230    0.20
      W201    0.20
      W200    0.20
      W199    0.20
      W198    0.20
      W434    0.20
      W402    0.20
      W401    0.20
      W400    0.20
      W368    0.20
      W367    0.20
      W366    0.20
      W334    0.20
      W333    0.20
      W332    0.20
      W300    0.20
      W299    0.20
      W298    0.20
      W266    0.20
      W265    0.20
      W264    0.20
     W1013    0.20
     W1016    0.20
      W983    0.20
     W1014    0.20
      W981    0.20
     W1012    0.20
      W979    0.20
      W982    0.20
      W946    0.20
      W980    0.20
      W944    0.20
      W978    0.20
      W911    0.20
      W945    0.20
      W878    0.20
      W912    0.20
      W876    0.20
      W910    0.20
      W843    0.20
      W877    0.20
      W810    0.20
      W844    0.20
      W808    0.20
      W842    0.20
      W775    0.20
      W809    0.20
      W745    0.20
      W776    0.20
      W743    0.20
      W774    0.20
      W741    0.20
      W744    0.20
      W605    0.20
      W606    0.20
      W575    0.20
      W604    0.20
      W573    0.20
      W574    0.20
      W571    0.20
      W572    0.20
      W541    0.20
      W570    0.20
      W539    0.20
      W540    0.20
      W537    0.20
      W538    0.20
      W507    0.20
      W536    0.20
      W505    0.20
      W506    0.20
      W503    0.20
      W504    0.20
      W473    0.20
      W502    0.20
      W471    0.20
      W472    0.20
      W469    0.20
      W470    0.20
      W439    0.20
      W468    0.20
      W437    0.20
      W438    0.20
      W435    0.20
      W436    0.20
     W1050    0.20
     W1017    0.20
     W1048    0.20
     W1015    0.20
     W1046    0.20
     W1151    0.20
     W1153    0.20
     W1149    0.20
     W1152    0.20
     W1119    0.20
     W1150    0.20
     W1117    0.20
     W1148    0.20
     W1115    0.20
     W1118    0.20
     W1085    0.20
     W1116    0.20
     W1083    0.20
     W1114    0.20
     W1081    0.20
     W1084    0.20
     W1051    0.20
     W1082    0.20
     W1049    0.20
     W1080    0.20
     W1047    0.20
       W92    0.20
       W91    0.20
       W90    0.20
       W89    0.20
       W59    0.20
       W58    0.20
       W57    0.20
       W56    0.20
       W55    0.20
       W25    0.20
       W24    0.20
       W23    0.20
       W22    0.20
       W21    0.20
      G171    0.20
      G170    0.20
      G169    0.20
      G141    0.20
      G140    0.20
      G139    0.20
      G111    0.20
      G110    0.20
      G109    0.20
       G81    0.20
       G80    0.20
       G79    0.20
       G51    0.20
       G50    0.20
       G49    0.20
       G21    0.20
       G20    0.20
       G19    0.20
      W704    0.20
      W670    0.20
      W671    0.20
      W637    0.20
      W669    0.20
      W635    0.20
      W636    0.20
      W875    0.20
      W841    0.20
      W873    0.20
      W839    0.20
      W840    0.20
      W806    0.20
      W807    0.20
      W773    0.20
      W805    0.20
      W771    0.20
      W772    0.20
      W738    0.20
      W739    0.20
      W705    0.20
      W737    0.20
      W703    0.20
      W127    0.20
      W126    0.20
      W125    0.20
      W124    0.20
      W123    0.20
      W122    0.20
       W93    0.20
      W261    0.20
      W229    0.20
      W228    0.20
      W227    0.20
      W195    0.20
      W194    0.20
      W193    0.20
      W192    0.20
      W191    0.20
      W190    0.20
      W161    0.20
      W160    0.20
      W159    0.20
      W158    0.20
      W157    0.20
      W156    0.20
     W1079    0.20
     W1111    0.20
     W1077    0.20
     W1109    0.20
     W1075    0.20
     W1078    0.20
     W1044    0.20
     W1076    0.20
     W1042    0.20
     W1045    0.20
     W1040    0.20
     W1043    0.20
     W1010    0.20
     W1041    0.20
     W1008    0.20
     W1011    0.20
     W1006    0.20
     W1009    0.20
      W976    0.20
     W1007    0.20
      W974    0.20
      W977    0.20
      W972    0.20
      W975    0.20
      W942    0.20
      W973    0.20
      W909    0.20
      W943    0.20
      W907    0.20
      W941    0.20
      W874    0.20
      W908    0.20
      W602    0.20
      W603    0.20
      W569    0.20
      W601    0.20
      W567    0.20
      W568    0.20
      W534    0.20
      W535    0.20
      W501    0.20
      W533    0.20
      W499    0.20
      W500    0.20
      W466    0.20
      W467    0.20
      W433    0.20
      W465    0.20
      W431    0.20
      W432    0.20
      W398    0.20
      W399    0.20
      W365    0.20
      W397    0.20
      W363    0.20
      W364    0.20
      W330    0.20
      W331    0.20
      W297    0.20
      W329    0.20
      W295    0.20
      W296    0.20
      W262    0.20
      W263    0.20
     W1146    0.20
     W1112    0.20
     W1144    0.20
     W1110    0.20
     W1113    0.20
      G889    0.20
      G891    0.20
      G860    0.20
      G890    0.20
      G831    0.20
      G861    0.20
      G829    0.20
      G859    0.20
      G800    0.20
      G830    0.20
      G771    0.20
      G801    0.20
      G769    0.20
      G799    0.20
      G740    0.20
      G770    0.20
     W1147    0.20
      G741    0.20
     W1145    0.20
      G739    0.20
     W1143    0.20
      W155    0.20
      W188    0.20
      W121    0.20
      W154    0.20
       W88    0.20
      W120    0.20
       W86    0.20
       W87    0.20
       W53    0.20
       W54    0.20
       W20    0.20
       W52    0.20
       W18    0.20
       W19    0.20
      G167    0.20
      G168    0.20
      G138    0.20
      G166    0.20
      G136    0.20
      G137    0.20
      G107    0.20
      G108    0.20
       G78    0.20
      G106    0.20
       G76    0.20
       G77    0.20
       G47    0.20
       G48    0.20
       G18    0.20
       G46    0.20
       G16    0.20
       G17    0.20
      W800    0.20
      W801    0.20
      W769    0.20
      W770    0.20
      W767    0.20
      W768    0.20
      W736    0.20
      W766    0.20
      W734    0.20
      W735    0.20
      W732    0.20
      W733    0.20
      W701    0.20
      W702    0.20
      W699    0.20
      W700    0.20
      W668    0.20
      W698    0.20
      W666    0.20
      W667    0.20
      W664    0.20
      W665    0.20
      W633    0.20
      W634    0.20
      W631    0.20
      W632    0.20
      W600    0.20
      W630    0.20
      W598    0.20
      W599    0.20
      W566    0.20
      W597    0.20
      W257    0.20
      W225    0.20
      W226    0.20
      W223    0.20
      W224    0.20
      W189    0.20
      W222    0.20
      W328    0.20
      W358    0.20
      W326    0.20
      W327    0.20
      W324    0.20
      W325    0.20
      W293    0.20
      W294    0.20
      W291    0.20
      W292    0.20
      W260    0.20
      W290    0.20
      W258    0.20
      W259    0.20
      W256    0.20
      W836    0.20
      W804    0.20
      W834    0.20
      W802    0.20
      W803    0.20
      W940    0.20
      W970    0.20
      W938    0.20
      W939    0.20
      W936    0.20
      W937    0.20
      W905    0.20
      W906    0.20
      W903    0.20
      W904    0.20
      W872    0.20
      W902    0.20
      W870    0.20
      W871    0.20
      W868    0.20
      W869    0.20
      W837    0.20
      W838    0.20
      W835    0.20
      W564    0.20
      W565    0.20
      W532    0.20
      W563    0.20
      W530    0.20
      W531    0.20
      W528    0.20
      W529    0.20
      W497    0.20
      W498    0.20
      W495    0.20
      W496    0.20
      W464    0.20
      W494    0.20
      W462    0.20
      W463    0.20
      W460    0.20
      W461    0.20
      W429    0.20
      W430    0.20
      W427    0.20
      W428    0.20
      W396    0.20
      W426    0.20
      W394    0.20
      W395    0.20
      W392    0.20
      W393    0.20
      W361    0.20
      W362    0.20
      W359    0.20
      W360    0.20
      G887    0.20
      G888    0.20
      G858    0.20
      G886    0.20
      G856    0.20
      G857    0.20
      G827    0.20
      G828    0.20
      G798    0.20
      G826    0.20
      G796    0.20
      G797    0.20
      G767    0.20
      G768    0.20
      G738    0.20
      G766    0.20
      G736    0.20
      G737    0.20
     W1141    0.20
     W1142    0.20
     W1108    0.20
     W1140    0.20
     W1106    0.20
     W1107    0.20
     W1073    0.20
     W1074    0.20
     W1039    0.20
     W1072    0.20
     W1005    0.20
     W1038    0.20
      W971    0.20
     W1004    0.20
      W153    0.20
      W186    0.20
      W119    0.20
      W152    0.20
       W85    0.20
      W118    0.20
       W83    0.20
       W84    0.20
       W50    0.20
       W51    0.20
       W17    0.20
       W49    0.20
       W15    0.20
       W16    0.20
      G164    0.20
      G165    0.20
      G135    0.20
      G163    0.20
      G133    0.20
      G134    0.20
      G104    0.20
      G105    0.20
       G75    0.20
      G103    0.20
       G73    0.20
       G74    0.20
       G44    0.20
       G45    0.20
       G15    0.20
       G43    0.20
       G13    0.20
       G14    0.20
      W795    0.20
      W796    0.20
      W764    0.20
      W765    0.20
      W762    0.20
      W763    0.20
      W731    0.20
      W761    0.20
      W729    0.20
      W730    0.20
      W727    0.20
      W728    0.20
      W696    0.20
      W697    0.20
      W694    0.20
      W695    0.20
      W663    0.20
      W693    0.20
      W661    0.20
      W662    0.20
      W659    0.20
      W660    0.20
      W628    0.20
      W629    0.20
      W626    0.20
      W627    0.20
      W594    0.20
      W625    0.20
      W592    0.20
      W593    0.20
      W560    0.20
      W591    0.20
      W252    0.20
      W220    0.20
      W221    0.20
      W218    0.20
      W219    0.20
      W187    0.20
      W217    0.20
      W323    0.20
      W353    0.20
      W321    0.20
      W322    0.20
      W319    0.20
      W320    0.20
      W288    0.20
      W289    0.20
      W286    0.20
      W287    0.20
      W255    0.20
      W285    0.20
      W253    0.20
      W254    0.20
      W251    0.20
      W831    0.20
      W799    0.20
      W829    0.20
      W797    0.20
      W798    0.20
      W935    0.20
      W968    0.20
      W933    0.20
      W934    0.20
      W931    0.20
      W932    0.20
      W900    0.20
      W901    0.20
      W898    0.20
      W899    0.20
      W867    0.20
      W897    0.20
      W865    0.20
      W866    0.20
      W863    0.20
      W864    0.20
      W832    0.20
      W833    0.20
      W830    0.20
      W558    0.20
      W559    0.20
      W527    0.20
      W557    0.20
      W525    0.20
      W526    0.20
      W523    0.20
      W524    0.20
      W492    0.20
      W493    0.20
      W490    0.20
      W491    0.20
      W459    0.20
      W489    0.20
      W457    0.20
      W458    0.20
      W455    0.20
      W456    0.20
      W424    0.20
      W425    0.20
      W422    0.20
      W423    0.20
      W391    0.20
      W421    0.20
      W389    0.20
      W390    0.20
      W387    0.20
      W388    0.20
      W356    0.20
      W357    0.20
      W354    0.20
      W355    0.20
      G884    0.20
      G885    0.20
      G855    0.20
      G883    0.20
      G853    0.20
      G854    0.20
      G824    0.20
      G825    0.20
      G795    0.20
      G823    0.20
      G793    0.20
      G794    0.20
      G764    0.20
      G765    0.20
      G735    0.20
      G763    0.20
      G733    0.20
      G734    0.20
     W1138    0.20
     W1139    0.20
     W1105    0.20
     W1137    0.20
     W1103    0.20
     W1104    0.20
     W1070    0.20
     W1071    0.20
     W1037    0.20
     W1069    0.20
     W1003    0.20
     W1036    0.20
      W969    0.20
     W1002    0.20
       W81    0.20
       W80    0.20
       W79    0.20
       W78    0.20
       W48    0.20
       W47    0.20
       W46    0.20
       W45    0.20
       W44    0.20
       W14    0.20
       W13    0.20
       W12    0.20
       W11    0.20
       W10    0.20
      G162    0.20
      G161    0.20
      G160    0.20
      G132    0.20
      G131    0.20
      G130    0.20
      G102    0.20
      G101    0.20
      G100    0.20
       G72    0.20
       G71    0.20
       G70    0.20
       G42    0.20
       G41    0.20
       G40    0.20
       G12    0.20
       G11    0.20
       G10    0.20
      W691    0.20
      W657    0.20
      W658    0.20
      W624    0.20
      W656    0.20
      W622    0.20
      W623    0.20
      W862    0.20
      W828    0.20
      W860    0.20
      W826    0.20
      W827    0.20
      W793    0.20
      W794    0.20
      W760    0.20
      W792    0.20
      W758    0.20
      W759    0.20
      W725    0.20
      W726    0.20
      W692    0.20
      W724    0.20
      W690    0.20
      W117    0.20
      W116    0.20
      W115    0.20
      W114    0.20
      W113    0.20
      W112    0.20
       W82    0.20
      W248    0.20
      W216    0.20
      W215    0.20
      W214    0.20
      W185    0.20
      W184    0.20
      W183    0.20
      W182    0.20
      W181    0.20
      W180    0.20
      W151    0.20
      W150    0.20
      W149    0.20
      W148    0.20
      W147    0.20
      W146    0.20
     W1068    0.20
     W1100    0.20
     W1066    0.20
     W1098    0.20
     W1064    0.20
     W1067    0.20
     W1034    0.20
     W1065    0.20
     W1032    0.20
     W1035    0.20
     W1030    0.20
     W1033    0.20
     W1000    0.20
     W1031    0.20
      W998    0.20
     W1001    0.20
      W996    0.20
      W999    0.20
      W966    0.20
      W997    0.20
      W964    0.20
      W967    0.20
      W962    0.20
      W965    0.20
      W929    0.20
      W963    0.20
      W896    0.20
      W930    0.20
      W894    0.20
      W928    0.20
      W861    0.20
      W895    0.20
      W589    0.20
      W590    0.20
      W556    0.20
      W588    0.20
      W554    0.20
      W555    0.20
      W521    0.20
      W522    0.20
      W488    0.20
      W520    0.20
      W486    0.20
      W487    0.20
      W453    0.20
      W454    0.20
      W420    0.20
      W452    0.20
      W418    0.20
      W419    0.20
      W385    0.20
      W386    0.20
      W352    0.20
      W384    0.20
      W350    0.20
      W351    0.20
      W317    0.20
      W318    0.20
      W284    0.20
      W316    0.20
      W282    0.20
      W283    0.20
      W249    0.20
      W250    0.20
     W1135    0.20
     W1101    0.20
     W1133    0.20
     W1099    0.20
     W1102    0.20
      G880    0.20
      G882    0.20
      G851    0.20
      G881    0.20
      G822    0.20
      G852    0.20
      G820    0.20
      G850    0.20
      G791    0.20
      G821    0.20
      G762    0.20
      G792    0.20
      G760    0.20
      G790    0.20
      G731    0.20
      G761    0.20
     W1136    0.20
      G732    0.20
     W1134    0.20
      G730    0.20
     W1132    0.20
      W175    0.20
      W174    0.20
      W145    0.20
      W144    0.20
      W143    0.20
      W142    0.20
      W141    0.20
      W140    0.20
      W111    0.20
      W110    0.20
      W109    0.20
      W108    0.20
      W107    0.20
      W106    0.20
       W77    0.20
       W76    0.20
       W75    0.20
       W74    0.20
       W73    0.20
       W72    0.20
       W43    0.20
       W42    0.20
       W41    0.20
       W40    0.20
       W39    0.20
       W38    0.20
        W9    0.20
        W8    0.20
        W7    0.20
        W6    0.20
        W5    0.20
        W4    0.20
      W620    0.20
      W617    0.20
      W618    0.20
      W587    0.20
      W616    0.20
      W585    0.20
      W586    0.20
      W720    0.20
      W689    0.20
      W718    0.20
      W687    0.20
      W688    0.20
      W685    0.20
      W686    0.20
      W655    0.20
      W684    0.20
      W653    0.20
      W654    0.20
      W651    0.20
      W652    0.20
      W621    0.20
      W650    0.20
      W619    0.20
      W213    0.20
      W212    0.20
      W211    0.20
      W179    0.20
      W178    0.20
      W177    0.20
      W176    0.20
      W412    0.20
      W383    0.20
      W382    0.20
      W381    0.20
      W349    0.20
      W348    0.20
      W347    0.20
      W315    0.20
      W314    0.20
      W313    0.20
      W281    0.20
      W280    0.20
      W279    0.20
      W247    0.20
      W246    0.20
      W245    0.20
      W991    0.20
      W994    0.20
      W961    0.20
      W992    0.20
      W959    0.20
      W990    0.20
      W957    0.20
      W960    0.20
      W927    0.20
      W958    0.20
      W925    0.20
      W956    0.20
      W892    0.20
      W926    0.20
      W859    0.20
      W893    0.20
      W857    0.20
      W891    0.20
      W824    0.20
      W858    0.20
      W791    0.20
      W825    0.20
      W789    0.20
      W823    0.20
      W756    0.20
      W790    0.20
      W723    0.20
      W757    0.20
      W721    0.20
      W755    0.20
      W719    0.20
      W722    0.20
      W583    0.20
      W584    0.20
      W553    0.20
      W582    0.20
      W551    0.20
      W552    0.20
      W549    0.20
      W550    0.20
      W519    0.20
      W548    0.20
      W517    0.20
      W518    0.20
      W515    0.20
      W516    0.20
      W485    0.20
      W514    0.20
      W483    0.20
      W484    0.20
      W481    0.20
      W482    0.20
      W451    0.20
      W480    0.20
      W449    0.20
      W450    0.20
      W447    0.20
      W448    0.20
      W417    0.20
      W446    0.20
      W415    0.20
      W416    0.20
      W413    0.20
      W414    0.20
     W1028    0.20
      W995    0.20
     W1026    0.20
      W993    0.20
     W1024    0.20
     W1129    0.20
     W1131    0.20
     W1127    0.20
     W1130    0.20
     W1097    0.20
     W1128    0.20
     W1095    0.20
     W1126    0.20
     W1093    0.20
     W1096    0.20
     W1063    0.20
     W1094    0.20
     W1061    0.20
     W1092    0.20
     W1059    0.20
     W1062    0.20
     W1029    0.20
     W1060    0.20
     W1027    0.20
     W1058    0.20
     W1025    0.20
      W137    0.20
      W138    0.20
      W104    0.20
      W105    0.20
       W71    0.20
      W103    0.20
       W69    0.20
       W70    0.20
       W36    0.20
       W37    0.20
        W3    0.20
       W35    0.20
        W1    0.20
        W2    0.20
      G158    0.20
      G159    0.20
      G129    0.20
      G157    0.20
      G127    0.20
      G128    0.20
       G98    0.20
       G99    0.20
       G69    0.20
       G97    0.20
       G67    0.20
       G68    0.20
       G38    0.20
       G39    0.20
        G9    0.20
       G37    0.20
        G7    0.20
        G8    0.20
      W819    0.20
      W820    0.20
      W817    0.20
      W818    0.20
      W787    0.20
      W788    0.20
      W785    0.20
      W786    0.20
      W783    0.20
      W784    0.20
      W753    0.20
      W754    0.20
      W751    0.20
      W752    0.20
      W749    0.20
      W750    0.20
      W716    0.20
      W717    0.20
      W683    0.20
      W715    0.20
      W681    0.20
      W682    0.20
      W648    0.20
      W649    0.20
      W615    0.20
      W647    0.20
      W613    0.20
      W614    0.20
      W580    0.20
      W581    0.20
      W547    0.20
      W579    0.20
      W208    0.20
      W205    0.20
      W206    0.20
      W172    0.20
      W173    0.20
      W139    0.20
      W171    0.20
      W277    0.20
      W278    0.20
      W275    0.20
      W276    0.20
      W273    0.20
      W274    0.20
      W243    0.20
      W244    0.20
      W241    0.20
      W242    0.20
      W239    0.20
      W240    0.20
      W209    0.20
      W210    0.20
      W207    0.20
      W854    0.20
      W851    0.20
      W852    0.20
      W821    0.20
      W822    0.20
      W955    0.20
      W987    0.20
      W953    0.20
      W954    0.20
      W923    0.20
      W924    0.20
      W921    0.20
      W922    0.20
      W919    0.20
      W920    0.20
      W889    0.20
      W890    0.20
      W887    0.20
      W888    0.20
      W885    0.20
      W886    0.20
      W855    0.20
      W856    0.20
      W853    0.20
      W545    0.20
      W546    0.20
      W512    0.20
      W513    0.20
      W479    0.20
      W511    0.20
      W477    0.20
      W478    0.20
      W444    0.20
      W445    0.20
      W411    0.20
      W443    0.20
      W409    0.20
      W410    0.20
      W379    0.20
      W380    0.20
      W377    0.20
      W378    0.20
      W375    0.20
      W376    0.20
      W345    0.20
      W346    0.20
      W343    0.20
      W344    0.20
      W341    0.20
      W342    0.20
      W311    0.20
      W312    0.20
      W309    0.20
      W310    0.20
      W307    0.20
      W308    0.20
      G878    0.20
      G879    0.20
      G849    0.20
      G877    0.20
      G847    0.20
      G848    0.20
      G818    0.20
      G819    0.20
      G789    0.20
      G817    0.20
      G787    0.20
      G788    0.20
      G758    0.20
      G759    0.20
      G729    0.20
      G757    0.20
      G727    0.20
      G728    0.20
     W1124    0.20
     W1125    0.20
     W1091    0.20
     W1123    0.20
     W1089    0.20
     W1090    0.20
     W1056    0.20
     W1057    0.20
     W1023    0.20
     W1055    0.20
     W1021    0.20
     W1022    0.20
      W988    0.20
      W989    0.20
      G152    0.20
      G151    0.20
      G126    0.20
      G125    0.20
      G124    0.20
      G123    0.20
      G122    0.20
      G121    0.20
       G96    0.20
       G95    0.20
       G94    0.20
       G93    0.20
       G92    0.20
       G91    0.20
       G66    0.20
       G65    0.20
       G64    0.20
       G63    0.20
       G62    0.20
       G61    0.20
       G36    0.20
       G35    0.20
       G34    0.20
       G33    0.20
       G32    0.20
       G31    0.20
        G6    0.20
        G5    0.20
        G4    0.20
        G3    0.20
        G2    0.20
        G1    0.20
      G602    0.20
      G601    0.20
      G576    0.20
      G575    0.20
      G574    0.20
      G573    0.20
      G572    0.20
      G571    0.20
      G546    0.20
      G545    0.20
      G544    0.20
      G543    0.20
      G542    0.20
      G541    0.20
      G516    0.20
      G515    0.20
      G514    0.20
      G513    0.20
      G512    0.20
      G511    0.20
      G486    0.20
      G485    0.20
      G484    0.20
      G483    0.20
      G482    0.20
      G481    0.20
      G456    0.20
      G455    0.20
      G454    0.20
      G453    0.20
      G452    0.20
      G451    0.20
      G181    0.20
      G156    0.20
      G155    0.20
      G154    0.20
      G153    0.20
      G274    0.20
      G273    0.20
      G272    0.20
      G271    0.20
      G246    0.20
      G245    0.20
      G244    0.20
      G243    0.20
      G242    0.20
      G241    0.20
      G216    0.20
      G215    0.20
      G214    0.20
      G213    0.20
      G212    0.20
      G211    0.20
      G186    0.20
      G185    0.20
      G184    0.20
      G183    0.20
      G182    0.20
      G631    0.20
      G606    0.20
      G605    0.20
      G604    0.20
      G603    0.20
      G724    0.20
      G723    0.20
      G722    0.20
      G721    0.20
      G696    0.20
      G695    0.20
      G694    0.20
      G693    0.20
      G692    0.20
      G691    0.20
      G666    0.20
      G665    0.20
      G664    0.20
      G663    0.20
      G662    0.20
      G661    0.20
      G636    0.20
      G635    0.20
      G634    0.20
      G633    0.20
      G632    0.20
      G426    0.20
      G425    0.20
      G424    0.20
      G423    0.20
      G422    0.20
      G421    0.20
      G396    0.20
      G395    0.20
      G394    0.20
      G393    0.20
      G392    0.20
      G391    0.20
      G366    0.20
      G365    0.20
      G364    0.20
      G363    0.20
      G362    0.20
      G361    0.20
      G336    0.20
      G335    0.20
      G334    0.20
      G333    0.20
      G332    0.20
      G331    0.20
      G306    0.20
      G305    0.20
      G304    0.20
      G303    0.20
      G302    0.20
      G301    0.20
      G276    0.20
      G275    0.20
      G876    0.20
      G875    0.20
      G874    0.20
      G873    0.20
      G872    0.20
      G871    0.20
      G846    0.20
      G845    0.20
      G844    0.20
      G843    0.20
      G842    0.20
      G841    0.20
      G816    0.20
      G815    0.20
      G814    0.20
      G813    0.20
      G812    0.20
      G811    0.20
      G786    0.20
      G785    0.20
      G784    0.20
      G783    0.20
      G782    0.20
      G781    0.20
      G756    0.20
      G755    0.20
      G754    0.20
      G753    0.20
      G752    0.20
      G751    0.20
      G726    0.20
